sql_mestre,x,y,epsg,status
0874800008,325346.5997894737,7385646.307031579,31983,ok
0880000000,,,31983,sem_lote
0880190001,325955.1397181818,7383071.165981818,31983,ok
0880480001,327289.71510000003,7385101.255995455,31983,ok
0880900007,326825.55196666665,7384053.732016668,31983,ok
0880930069,326511.25001111114,7383561.915450001,31983,ok
0882590001,327549.01154769224,7383853.537883078,31983,ok
0882590197,327349.77145102056,7383830.905446942,31983,ok
0882590198,327456.00770625,7383762.003331249,31983,ok
0882590199,327547.97085357143,7383816.534739287,31983,ok
0882590200,327455.92194117635,7384021.823158822,31983,ok
0882590201,327561.2381822221,7383854.13995778,31983,ok
0893200001,,,31983,sem_lote
0895620001,332415.7345888889,7385099.351644444,31983,ok
0900130015,,,31983,sem_lote
0904790108,,,31983,sem_lote
0904810003,328604.04397,7383766.18547,31983,ok
0915830001,332241.2435035715,7383481.383774999,31983,ok
0950000000,,,31983,sem_lote
0950270003,325281.41773589747,7377240.380923078,31983,ok
0950890001,325373.15049285715,7377282.607689287,31983,ok
0980470002,325428.41161300807,7398321.422426828,31983,ok
0980710082,325858.58741627896,7397673.503360467,31983,ok
0990020198,325858.07779999997,7398462.615699999,31983,ok
0990260019,325914.6965333334,7398435.878185714,31983,ok
0990280082,325812.55690769234,7398303.881661539,31983,ok
0990280083,325849.1356,7398299.541922223,31983,ok
0990280084,325871.83966923074,7398284.889623078,31983,ok
0990460092,,,31983,sem_lote
1000370023,338993.5546903226,7391682.610667741,31983,ok
1010190001,324364.8706306123,7390758.692510208,31983,ok
1014700039,325405.37175714277,7390564.60357857,31983,ok
1041190008,326577.68801904767,7400169.12810476,31983,ok
1041190009,326589.7632421052,7400114.291068421,31983,ok
1041250009,326524.7861,7399980.909916666,31983,ok
1041250017,326495.54628333333,7399972.252250001,31983,ok
1041250021,326505.79157142865,7399971.981500001,31983,ok
1041250023,326535.0675545455,7399978.141,31983,ok
1041250025,326513.3839333333,7399978.294083334,31983,ok
1041270003,326625.94904210523,7399995.676894736,31983,ok
1041270006,326624.06119999994,7400015.529340002,31983,ok
1041270020,326596.0956625,7400055.495599999,31983,ok
1041270026,326640.9304,7400018.0797999995,31983,ok
1041280003,326685.0523,7400008.5854,31983,ok
1041280004,326680.28607777774,7400003.666655554,31983,ok
1041330001,326555.75191864424,7399938.184994919,31983,ok
1041360049,326726.46818181814,7399911.479036364,31983,ok
1041360050,326720.9925466667,7399905.820993333,31983,ok
1041360051,326714.8890857143,7399905.988928571,31983,ok
1070620037,327678.24274347833,7403506.4367347825,31983,ok
1090630002,334880.70583448274,7405728.152234483,31983,ok
1091940108,334857.2945807693,7405539.05493077,31983,ok
1112480113,347887.7324125,7400144.257675,31983,ok
1113540001,348834.36652999994,7401722.23257,31983,ok
1113540002,348834.37734,7401710.23622,31983,ok
1113540003,348828.46968,7401703.24286,31983,ok
1113540004,348831.07301666663,7401695.462099999,31983,ok
1113540005,348833.73844,7401689.15068,31983,ok
1113540006,348827.3922,7401682.16682,31983,ok
1113540007,348836.48193333327,7401672.945488889,31983,ok
1113540008,348863.20321538456,7401605.114069232,31983,ok
1113540009,348861.5240714286,7401620.8811428575,31983,ok
1113540010,348862.42004,7401629.6844,31983,ok
1113540011,348858.46306,7401635.847200001,31983,ok
1113540012,348865.478575,7401645.189625001,31983,ok
1113540013,348862.42216,7401656.0926,31983,ok
1113540014,348862.51456,7401663.115799999,31983,ok
1113540015,348860.6794166667,7401671.782833333,31983,ok
1113540016,348860.85468333337,7401677.751200001,31983,ok
1113540017,348861.0591833333,7401688.904933334,31983,ok
1113540018,348863.11746,7401696.1815,31983,ok
1113540019,348863.21118,7401705.230419999,31983,ok
1113540020,348861.33036666666,7401713.586966666,31983,ok
1113540021,348859.43003999995,7401721.780859999,31983,ok
1113540022,348859.50866,7401730.237299999,31983,ok
1113540023,348886.3276071428,7401585.512557142,31983,ok
1113540024,348886.6188666667,7401602.68755,31983,ok
1113540025,348888.92689999996,7401608.968160001,31983,ok
1113540026,348888.2286857143,7401617.938714286,31983,ok
1113540027,348888.7247,7401625.6014,31983,ok
1113540028,348886.71661666664,7401632.561833334,31983,ok
1113540029,348883.33295,7401643.533333334,31983,ok
1113540030,348888.98898,7401648.5468,31983,ok
1113540031,348889.0624,7401656.8154,31983,ok
1113540032,348889.12558,7401663.3618,31983,ok
