sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
3070900072,350000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
8600800307,1460000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
9107100086,600000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1522500042,100000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
7301004613,226317.81,2023-01-03,1.Compra e venda,itbi_1.xlsx
1830890199,450000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
6856400251,518622.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
3030071272,274680.90,2023-01-31,1.Compra e venda,itbi_1.xlsx
4516602245,780000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
6718604801,626571.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
8700901024,1250000.00,2023-01-03,1.Compra e venda,itbi_1.xlsx
